OBJECTID,lat,long,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
1325,33.632462,-111.925687,"SB SCOTTSDALE RD FS PARADISE LN
",S,52614,SHELTERS,-12459510.48,3979556.776
1326,33.613718,-111.925979,"SB SCOTTSDALE RD FS REDFIELD RD
",N,110445,SHELTERS,-12459542.99,3977050.979
1327,33.613718,-111.925979,"SB SCOTTSDALE RD FS REDFIELD RD
",S,64874,SHELTERS,-12459542.99,3977050.979
1328,33.61051,-111.925923,"SB SCOTTSDALE RD FS THUNDERBIRD RD
",N,96756,SHELTERS,-12459536.76,3976622.171
1329,33.61051,-111.925923,"SB SCOTTSDALE RD FS THUNDERBIRD RD
",S,56794,SHELTERS,-12459536.76,3976622.171
1330,33.628858,-111.925745,"SB SCOTTSDALE RD FS TIERRA BUENA LN
",N,89914,SHELTERS,-12459516.94,3979074.932
1331,33.628858,-111.925745,"SB SCOTTSDALE RD FS TIERRA BUENA LN
",S,52614,SHELTERS,-12459516.94,3979074.932
1332,33.641703,-111.925539,"SB SCOTTSDALE RD NS 17050 N
",N,92016,SHELTERS,-12459494.01,3980792.362
1333,33.641703,-111.925539,"SB SCOTTSDALE RD NS 17050 N
",S,53957,SHELTERS,-12459494.01,3980792.362
1334,33.606507,-111.977979,"SB TATUM BLVD FS ANDORA DR
",N,109099,SHELTERS,-12465331.6,3976087.119
1335,33.606507,-111.977979,"SB TATUM BLVD FS ANDORA DR
",S,63474,SHELTERS,-12465331.6,3976087.119
1336,33.643101,-111.977576,"SB TATUM BLVD FS ANGELA DR
",N,81195,SHELTERS,-12465286.74,3980979.296
1337,33.643101,-111.977576,"SB TATUM BLVD FS ANGELA DR
",S,47894,SHELTERS,-12465286.74,3980979.296
1338,33.567692,-111.977807,"SB TATUM BLVD FS DOUBLETREE RANCH RD
",E,61070,BENCHES,-12465312.46,3970900.29
1339,33.622191,-111.978,"SB TATUM BLVD FS NISBET RD
",N,132904,SHELTERS,-12465333.94,3978183.627
1340,33.622191,-111.978,"SB TATUM BLVD FS NISBET RD
",S,76821,SHELTERS,-12465333.94,3978183.627
1341,33.630005,-111.97793,"SB TATUM BLVD FS KATHLEEN RD
",N,68015,SHELTERS,-12465326.15,3979228.28
1342,33.630005,-111.97793,"SB TATUM BLVD FS KATHLEEN RD
",S,38045,SHELTERS,-12465326.15,3979228.28
1343,33.668097,-111.977647,"SB TATUM BLVD FS MAYO BLVD
",N,74185,SHELTERS,-12465294.64,3984322.155
1344,33.668097,-111.977647,"SB TATUM BLVD FS MAYO BLVD
",S,43614,SHELTERS,-12465294.64,3984322.155
1345,33.618198,-111.978017,"SB TATUM BLVD FS ACOMA DR
",N,133305,SHELTERS,-12465335.83,3977649.839
1346,33.618198,-111.978017,"SB TATUM BLVD FS ACOMA DR
",S,76842,SHELTERS,-12465335.83,3977649.839
1347,33.639806,-111.977845,"SB TATUM BLVD FS BELL RD
",N,77192,SHELTERS,-12465316.69,3980538.709
1348,33.639806,-111.977845,"SB TATUM BLVD FS BELL RD
",S,45653,SHELTERS,-12465316.69,3980538.709
1349,33.465657,-112.060603,"EB MCDOWELL RD FS 10TH ST
",W,72314,SHELTERS,-12474529.26,3957276.512
1350,33.465657,-112.060603,"EB MCDOWELL RD FS 10TH ST
",E,42911,SHELTERS,-12474529.26,3957276.512
1351,33.598038,-111.980817,"SB TATUM BLVD FS CACTUS RD
",N,81920,SHELTERS,-12465647.53,3974955.212
1352,33.598038,-111.980817,"SB TATUM BLVD FS CACTUS RD
",S,50042,SHELTERS,-12465647.53,3974955.212
1353,33.589294,-111.978006,"SB TATUM BLVD FS CHOLLA ST
",N,81651,SHELTERS,-12465334.61,3973786.667
1354,33.589294,-111.978006,"SB TATUM BLVD FS CHOLLA ST
",S,48101,SHELTERS,-12465334.61,3973786.667
1355,33.585964,-111.978074,"SB TATUM BLVD FS DESERT COVE AVE
",N,81651,SHELTERS,-12465342.18,3973341.678
1356,33.585964,-111.978074,"SB TATUM BLVD FS DESERT COVE AVE
",S,48101,SHELTERS,-12465342.18,3973341.678
1357,33.571377,-111.977901,"SB TATUM BLVD FS FANFOL DR
",NE,73740,SHELTERS,-12465322.92,3971392.615
1358,33.571377,-111.977901,"SB TATUM BLVD FS FANFOL DR
",S,43737,SHELTERS,-12465322.92,3971392.615
1359,33.578749,-111.977985,"SB TATUM BLVD FS GOLD DUST AVE
",N,73787,SHELTERS,-12465332.27,3972377.594
1360,33.578749,-111.977985,"SB TATUM BLVD FS GOLD DUST AVE
",S,44353,SHELTERS,-12465332.27,3972377.594
1361,33.625604,-111.978032,"SB TATUM BLVD FS GREENWAY RD
",N,132904,SHELTERS,-12465337.5,3978639.899
1362,33.625604,-111.978032,"SB TATUM BLVD FS GREENWAY RD
",S,76821,SHELTERS,-12465337.5,3978639.899
1363,33.647509,-111.977502,"SB TATUM BLVD FS GROVERS AVE
",N,81793,SHELTERS,-12465278.5,3981568.733
1364,33.647509,-111.977502,"SB TATUM BLVD FS GROVERS AVE
",S,48303,SHELTERS,-12465278.5,3981568.733
1365,33.614994,-111.978008,"SB TATUM BLVD FS REDFIELD RD
",N,132904,SHELTERS,-12465334.83,3977221.544
1366,33.614994,-111.978008,"SB TATUM BLVD FS REDFIELD RD
",S,76821,SHELTERS,-12465334.83,3977221.544
1367,33.636291,-111.977951,"SB TATUM BLVD FS KINGS AVE
",N,77192,SHELTERS,-12465328.49,3980068.724
1368,33.636291,-111.977951,"SB TATUM BLVD FS KINGS AVE
",S,45653,SHELTERS,-12465328.49,3980068.724
1369,33.575014,-111.977937,"SB TATUM BLVD FS MOUNTAIN VIEW RD
",E,55149,BENCHES,-12465326.93,3971878.547
1370,33.595121,-111.980981,"SB TATUM BLVD FS PARADISE VILLAGE PKY
",N,81920,SHELTERS,-12465665.78,3974565.372
1371,33.595121,-111.980981,"SB TATUM BLVD FS PARADISE VILLAGE PKY
",S,48249,SHELTERS,-12465665.78,3974565.372
1372,33.651251,-111.977606,"SB TATUM BLVD FS ROBERT LEE ST
",N,81793,SHELTERS,-12465290.08,3982069.136
1373,33.651251,-111.977606,"SB TATUM BLVD FS ROBERT LEE ST
",S,47888,SHELTERS,-12465290.08,3982069.136
1374,33.581494,-111.978007,"SB TATUM BLVD FS SHEA BLVD
",N,73787,SHELTERS,-12465334.72,3972744.377
1375,33.581494,-111.978007,"SB TATUM BLVD FS SHEA BLVD
",S,44353,SHELTERS,-12465334.72,3972744.377
1376,33.611011,-111.977995,"SB TATUM BLVD FS THUNDERBIRD RD
",N,109099,SHELTERS,-12465333.38,3976689.138
